unix,low,high,open,close,volume,date
1568592000,69.45,73.81,70.14,72.76,121648.9899,9/16/2019
1568505600,69.71,71.47,70.64,70.14,37490.28036,9/15/2019
1568419200,68.3,71.45,69.1,70.62,69011.00961,9/14/2019
1568332800,67.1,69.69,69.2,69.09,70265.84992,9/13/2019
1568246400,68.29,70,69.84,69.28,61911.30614,9/12/2019
1568160000,68.21,71.7,70.72,69.81,78310.43941,9/11/2019
1568073600,69.62,73.24,69.92,70.75,155632.8889,9/10/2019
1567987200,67.8,71.47,70.45,69.93,98888.29848,9/9/2019
1567900800,68.01,72.25,68.9,70.56,129627.9168,9/8/2019
1567814400,64.64,70.58,64.91,68.87,128152.7251,9/7/2019
1567728000,63.87,68.24,65.26,64.98,139951.3889,9/6/2019
1567641600,64.23,67.46,67.13,65.27,86343.82048,9/5/2019
1567555200,66.55,69.36,69.17,67.13,108131.2579,9/4/2019
1567468800,66.63,71,67.2,69.12,142373.2688,9/3/2019
1567382400,65.08,68.21,66.11,67.2,123405.8783,9/2/2019
1567296000,64,67.37,64.33,66.1,101607.2235,9/1/2019
1567209600,62.39,65.33,64.18,64.35,84686.98868,8/31/2019
1567123200,62.07,65.57,63.5,64.21,128511.8236,8/30/2019
1567036800,62.05,66.81,66.81,63.46,187437.74,8/29/2019
1566950400,64.21,72.99,72.7,66.79,270218.9367,8/28/2019
1566864000,71.91,73.61,73.41,72.75,86523.38713,8/27/2019
1566777600,72.13,75.55,72.13,73.38,130476.0803,8/26/2019
1566691200,70.66,74.88,73.43,72.15,98225.25458,8/25/2019
1566604800,71.59,75.6,75.48,73.4,91228.96923,8/24/2019
1566518400,72.5,76.1,73.32,75.48,105235.0794,8/23/2019
1566432000,70.9,74.85,73.2,73.39,150659.5029,8/22/2019
1566345600,70,75.35,75.11,73.19,178248.1841,8/21/2019
1566259200,73.18,77.24,77.17,75.11,112305.3556,8/20/2019
1566172800,75.54,79.06,76.29,77.16,150828.1265,8/19/2019
1566086400,71.35,78.18,72.71,76.34,164689.9287,8/18/2019
1566000000,71.63,75.44,74.76,72.71,101501.6389,8/17/2019
1565913600,72.25,76.39,76.25,74.76,192246.3764,8/16/2019
1565827200,70.66,77.89,75.77,76.25,289825.6887,8/15/2019
1565740800,74,86.07,84.49,75.81,309258.2006,8/14/2019
1565654400,83,86.54,85.78,84.53,138641.0172,8/13/2019
1565568000,85.33,89.93,89.81,85.78,118035.7493,8/12/2019
1565481600,85.15,91.35,85.16,89.78,143540.9464,8/11/2019
1565395200,81.84,87.33,84.28,85.17,188577.698,8/10/2019
1565308800,82.5,90.32,90,84.32,201687.8986,8/9/2019
1565222400,87.69,92.82,90.5,90,161430.2502,8/8/2019
1565136000,87.19,94.46,92.86,90.5,257938.7731,8/7/2019
1565049600,90.9,99.28,96.4,92.88,222033.652,8/6/2019
1564963200,92.98,107.04,92.98,96.39,441478.6178,8/5/2019
1564876800,90.52,94.79,94.25,92.95,149822.6838,8/4/2019
1564790400,93.6,96.79,94.88,94.2,131132.2072,8/3/2019
1564704000,92.22,98.98,98.88,94.83,198060.8847,8/2/2019
1564617600,95.76,101.54,98.92,98.89,188773.4743,8/1/2019
1564531200,90.01,100,90.33,98.89,256689.5489,7/31/2019
1564444800,88.43,92.73,90.26,90.33,92345.98074,7/30/2019
1564358400,87.25,92.44,90.11,90.24,163220.891,7/29/2019
1564272000,83.27,91.08,88.84,90.02,178250.8996,7/28/2019
1564185600,86.57,96.53,94.28,88.87,241175.8261,7/27/2019
1564099200,90.18,94.65,93.3,94.33,129615.6172,7/26/2019
1564012800,91.12,96.85,94.4,93.29,189626.6307,7/25/2019
1563926400,86.11,97.36,90.02,94.45,347152.1963,7/24/2019
1563840000,88.23,95.12,95.12,90.02,282613.7614,7/23/2019
1563753600,90.91,100.88,99.77,95.12,285813.3978,7/22/2019
1563667200,96.48,101.86,100.46,99.76,183357.6667,7/21/2019
1563580800,97.53,106.04,98.65,100.48,290370.2313,7/20/2019
1563494400,94.97,101.67,101.4,98.75,279799.2156,7/19/2019
1563408000,87.01,105,90.24,101.4,668519.0121,7/18/2019
1563321600,76.8,95,79.73,90.25,715309.0516,7/17/2019
1563235200,76.63,91.89,90.54,79.68,568882.933,7/16/2019
1563148800,84.88,93,89.72,90.5,440032.2453,7/15/2019
1563062400,88,101.91,101.19,89.72,491898.4329,7/14/2019
1562976000,97.5,105.51,105.23,101.15,240576.4811,7/13/2019
1562889600,100.59,107,103.02,105.16,260223.4014,7/12/2019
1562803200,95.25,108.31,108.31,102.94,565958.8683,7/11/2019
1562716800,102.5,120.5,119.45,108.28,470340.1264,7/10/2019
1562630400,117.88,124.2,123.42,119.51,222192.3031,7/9/2019
1562544000,118.01,125.67,120.26,123.5,194849.8983,7/8/2019
1562457600,117,121.39,118.16,120.18,125056.6838,7/7/2019
1562371200,117.3,122.29,118.46,118.25,133588.854,7/6/2019
1562284800,116.56,120.85,119.48,118.54,170118.8602,7/5/2019
1562198400,118.59,127.37,121.78,119.59,252442.8712,7/4/2019
1562112000,117.22,123.16,118.59,121.78,182539.164,7/3/2019
1562025600,111.2,123.41,122.59,118.59,378949.3696,7/2/2019
1561939200,113.13,126.52,122.03,122.54,404519.9405,7/1/2019
1561852800,119.3,136.81,133.26,122.06,486639.4182,6/30/2019
1561766400,115,136.5,119.39,133.21,540252.4529,6/29/2019
1561680000,112.35,121.8,114.14,119.47,345820.4566,6/28/2019
1561593600,109.09,132.11,130.64,114.16,824068.056,6/27/2019
1561507200,122.46,138.21,135.52,130.64,711169.2054,6/26/2019
1561420800,129,138.33,135.37,135.55,280093.4748,6/25/2019
1561334400,132.13,136.66,136.65,135.26,218106.458,6/24/2019
1561248000,135.2,142.2,141.38,136.66,236553.4598,6/23/2019
1561161600,137.56,146,139.23,141.46,550829.3732,6/22/2019
1561075200,135.35,141.53,135.84,139.04,342026.2076,6/21/2019
1560988800,133.37,137.15,136.67,135.75,157353.2777,6/20/2019
1560902400,133.57,139.66,135.1,136.81,244073.6779,6/19/2019
1560816000,128.91,136.98,134.2,135.1,245947.5022,6/18/2019
1560729600,132.05,137.4,137,134.21,224291.3018,6/17/2019
1560643200,133.07,139.14,138.46,137,270179.8719,6/16/2019
1560556800,132.57,140,132.57,138.35,275694.2153,6/15/2019
1560470400,125.6,133.23,130.78,132.56,344171.9081,6/14/2019
1560384000,128,136.99,136.2,130.89,381672.4608,6/13/2019
1560297600,130.45,144.34,136.2,136.19,652474.169,6/12/2019
1560211200,125.34,138.99,129.59,136.2,588456.5059,6/11/2019
1560124800,112.66,130.78,114.82,129.76,596264.5867,6/10/2019
1560038400,111.09,119.3,118.5,114.83,280386.07,6/9/2019
1559952000,114,120,117.07,118.5,255271.0442,6/8/2019
1559865600,109.9,121.57,111.5,117.07,483324.8848,6/7/2019
1559779200,101.05,112.33,103.84,111.47,305363.6034,6/6/2019
